iter	Logloss
0	0.6716183044
1	0.6542105787
2	0.6365109128
3	0.6170470511
4	0.6024647917
5	0.595445484
6	0.5783733004
7	0.5647576201
8	0.5490851987
9	0.5357451598
10	0.5276585311
11	0.5164358146
12	0.5014168173
13	0.4902192864
14	0.4825820261
15	0.4740152844
16	0.4698020434
17	0.4598937005
18	0.4523367616
19	0.4458010081
20	0.4380138449
21	0.4303198605
22	0.4238358395
23	0.4163692432
24	0.411478338
25	0.4078066612
26	0.4007573654
27	0.3944951735
28	0.3909688994
29	0.3868938006
30	0.3804665415
31	0.3736000486
32	0.3706722898
33	0.3665801737
34	0.3637600772
35	0.358805036
36	0.3540989002
37	0.350495973
38	0.3443258255
39	0.3410135527
40	0.337108891
41	0.3344455799
42	0.3297634196
43	0.3276131593
44	0.323323303
45	0.3190957297
46	0.3161702398
47	0.3134183257
48	0.310154155
49	0.3062719938
50	0.3036828402
51	0.2995851273
52	0.2976483011
53	0.2936947053
54	0.2932434271
55	0.2905958854
56	0.2885671282
57	0.2858618225
58	0.2829674174
59	0.2811967171
60	0.2786996834
61	0.2760971807
62	0.274126925
63	0.2716205696
64	0.2696895481
65	0.2677958889
66	0.2657935652
67	0.2624731052
68	0.2598046512
69	0.2580106941
70	0.256327349
71	0.2547218483
72	0.2522082701
73	0.2505672223
74	0.2489661083
75	0.2471238223
76	0.2456765252
77	0.2443348673
78	0.2421158007
79	0.2405465468
80	0.2393739835
81	0.2379753935
82	0.2378358522
83	0.2359008789
84	0.2343200532
85	0.2325559141
86	0.2313936935
87	0.2298093888
88	0.2281907092
89	0.2265718595
90	0.2251391027
91	0.2241190895
92	0.2235804372
93	0.2224773421
94	0.2210764454
95	0.2198577087
96	0.2189733796
97	0.2176534849
98	0.2161916286
99	0.2151928492
100	0.2141221057
101	0.2130356875
102	0.2121790776
103	0.2112217257
104	0.2097492242
105	0.2085290316
106	0.2071710561
107	0.20621845
108	0.2056545366
109	0.2051260191
110	0.2044541786
111	0.2029763261
112	0.2024385058
113	0.2021455257
114	0.2009104335
115	0.2001482126
116	0.1996897115
117	0.1986440779
118	0.1980905261
119	0.1974071706
120	0.1966682254
121	0.1959296963
122	0.195430108
123	0.1944141033
124	0.1938461814
125	0.1933186471
126	0.192496828
127	0.1916200999
128	0.1905915781
129	0.1901613257
130	0.1898738667
131	0.1888067158
132	0.1883614503
133	0.1876061876
134	0.186470703
135	0.1852599644
136	0.1848222621
137	0.1844394499
138	0.1833617672
139	0.1829161047
140	0.1825259751
141	0.181569077
142	0.1810076594
143	0.1806977188
144	0.1800161218
145	0.1792037567
146	0.1784219848
147	0.1777656111
148	0.1772744369
149	0.1768405919
150	0.1765546456
151	0.1758824647
152	0.1752345051
153	0.174652024
154	0.1738066455
155	0.1731501205
156	0.1723200007
157	0.1718192024
158	0.1705655993
159	0.1701712721
160	0.1694586091
161	0.1686694442
162	0.1676672046
163	0.1674126456
164	0.1670540924
165	0.1665500797
166	0.1662211932
167	0.1660005742
168	0.1653275992
169	0.1643282147
170	0.1638409734
171	0.1638020985
172	0.1635596217
173	0.1628732788
174	0.1622103439
175	0.1617656079
176	0.1610502222
177	0.1604108279
178	0.1596321947
179	0.159234483
180	0.1588182603
181	0.1584430397
182	0.1578888072
183	0.1576356002
184	0.1572223555
185	0.156692987
186	0.1561264265
187	0.1558718297
188	0.1554232081
189	0.1550353569
