iter	Passed	Remaining
0	2	2371
1	4	2061
2	5	1967
3	7	1989
4	10	2021
5	12	2001
6	14	2008
7	15	1971
8	17	1967
9	19	1963
10	21	1970
11	23	1965
12	25	1960
13	27	1966
14	29	1925
15	31	1932
16	33	1951
17	35	1959
18	38	1967
19	40	1974
20	42	1969
21	44	1966
22	47	1999
23	49	2016
24	51	2026
25	54	2033
26	56	2039
27	58	2041
28	61	2047
29	63	2055
30	65	2052
31	67	2050
32	69	2047
33	71	2043
34	74	2045
35	76	2042
36	78	2046
37	80	2042
38	82	2038
39	85	2040
40	87	2036
41	89	2033
42	91	2037
43	93	2036
44	95	2032
45	97	2030
46	99	2027
47	102	2024
48	104	2020
49	106	2024
50	108	2019
51	110	2017
52	112	2016
53	114	2012
54	116	1998
55	118	1996
56	120	1996
57	123	1999
58	125	1996
59	127	1995
60	129	1991
61	131	1988
62	133	1985
63	135	1986
64	138	1985
65	139	1981
66	142	1978
67	145	1987
68	147	1990
69	150	1996
70	153	2002
71	155	2006
72	158	2008
73	160	2008
74	162	2005
75	164	2001
76	166	1999
77	168	1995
78	170	1992
79	172	1987
80	174	1982
81	176	1978
82	178	1974
83	181	1974
84	183	1970
85	185	1968
86	187	1965
87	189	1963
88	191	1960
89	193	1956
90	195	1957
91	198	1957
92	200	1953
93	202	1949
94	204	1945
95	206	1942
96	208	1939
97	210	1936
98	212	1934
99	214	1932
100	216	1929
101	218	1925
102	220	1922
103	222	1918
104	224	1915
105	227	1915
106	229	1912
107	231	1909
108	233	1906
109	235	1903
110	237	1900
111	239	1896
112	241	1894
113	243	1892
114	245	1889
115	247	1887
116	249	1885
117	251	1883
118	253	1878
119	255	1876
120	258	1874
121	260	1872
122	262	1869
123	264	1868
124	266	1867
125	268	1864
126	270	1862
127	273	1861
128	275	1859
129	277	1856
130	279	1856
131	282	1854
132	284	1853
133	287	1855
134	289	1853
135	291	1851
136	293	1849
137	295	1847
138	297	1844
139	299	1841
140	312	1902
141	314	1899
142	316	1896
143	318	1892
144	320	1889
145	322	1885
146	324	1882
147	326	1878
148	328	1876
149	330	1873
150	332	1869
151	334	1867
152	336	1864
153	338	1858
154	340	1855
155	342	1853
156	344	1850
157	346	1847
158	348	1844
159	350	1842
160	352	1839
161	355	1836
162	357	1833
163	359	1831
164	361	1828
165	363	1826
166	365	1823
167	367	1820
168	369	1817
169	371	1814
170	373	1812
171	375	1809
172	377	1806
173	379	1803
174	381	1800
175	383	1797
176	385	1794
177	387	1791
178	390	1792
179	393	1791
180	395	1788
181	397	1786
182	399	1782
183	401	1780
184	403	1776
185	405	1776
186	408	1774
187	410	1772
188	412	1769
189	414	1766
190	416	1763
191	418	1761
192	420	1758
193	422	1756
194	424	1754
195	426	1751
196	428	1748
197	430	1745
198	432	1742
199	435	1740
200	437	1738
201	439	1735
202	441	1733
203	443	1730
204	445	1727
205	447	1724
206	449	1722
207	451	1719
208	453	1716
209	455	1714
210	457	1712
211	459	1709
212	462	1707
213	464	1705
214	466	1702
215	468	1699
216	470	1697
217	472	1695
218	474	1692
219	476	1689
220	478	1686
221	480	1684
222	482	1681
223	484	1677
224	486	1675
225	488	1673
226	490	1670
227	492	1668
228	494	1665
229	496	1662
230	498	1660
231	500	1657
232	502	1653
233	504	1651
234	506	1648
235	508	1646
236	510	1643
237	512	1641
238	514	1638
239	516	1636
240	518	1634
241	520	1631
242	522	1628
243	524	1626
244	526	1623
245	528	1621
246	530	1618
247	533	1616
248	535	1613
249	537	1611
250	539	1608
251	541	1606
252	543	1604
253	545	1601
254	547	1599
255	549	1596
256	551	1594
257	553	1592
258	555	1590
259	557	1587
260	560	1585
261	562	1583
262	564	1581
263	566	1579
264	568	1577
265	570	1574
266	572	1572
267	574	1569
268	576	1567
269	578	1564
270	580	1562
271	582	1559
272	584	1557
273	586	1554
274	588	1552
275	590	1549
276	592	1547
277	594	1544
278	596	1542
279	599	1540
280	601	1539
281	603	1537
282	605	1534
283	607	1532
284	609	1529
285	611	1527
286	613	1524
287	615	1522
288	618	1520
289	620	1518
290	622	1515
291	623	1512
292	625	1510
293	627	1507
